report_id,report_date,category,content_type,reported_user_id,region,status,resolution_time_hours,decision,reviewer_type,queue_name,reporter_user_id
64,2024-01-02,spam,comment,2923,Brazil,resolved,1.0,removed,auto,spam_queue,2337
65,2024-02-23,harassment,comment,1712,US,resolved,11.0,removed,auto,abuse_queue,6076
66,2024-04-15,spam,short,3392,Germany,resolved,1.0,removed,auto,spam_queue,6620
67,2024-09-16,hate,video,181,UK,open,,removed,human,abuse_queue,1745
68,2024-11-05,spam,video,2614,Germany,open,,warned,auto,spam_queue,100
69,2024-07-09,hate,comment,175,India,open,,rejected,human,abuse_queue,98
70,2024-08-05,hate,video,123,Brazil,resolved,23.0,removed,human,abuse_queue,215
71,2024-02-13,harassment,video,4921,Germany,resolved,10.0,removed,auto,abuse_queue,85
72,2024-06-10,spam,video,1516,Brazil,resolved,11.0,ignored,human,spam_queue,5010
73,2024-07-20,spam,video,4374,India,resolved,1.0,removed,auto,spam_queue,3367
74,2024-09-26,hate,comment,1213,UK,resolved,30.0,removed,human,abuse_queue,1238
75,2024-12-16,spam,short,3909,Germany,resolved,4.0,warned,auto,spam_queue,2869
76,2024-10-30,spam,video,1985,Germany,resolved,5.0,warned,auto,spam_queue,102
77,2024-09-27,harassment,comment,3786,Germany,resolved,40.0,removed,human,abuse_queue,2076
78,2024-08-02,spam,short,3865,UK,resolved,4.0,removed,auto,spam_queue,1661
79,2024-09-08,spam,video,3239,India,resolved,25.0,removed,human,spam_queue,6190
80,2024-07-08,harassment,short,4269,Germany,resolved,17.0,removed,human,abuse_queue,742
81,2024-10-22,spam,comment,1849,UK,resolved,32.0,removed,human,spam_queue,2338
82,2024-07-31,spam,video,25,Brazil,resolved,45.0,rejected,human,spam_queue,17
83,2024-07-26,harassment,short,407,India,resolved,39.0,removed,human,abuse_queue,3312
84,2024-08-24,spam,comment,4710,UK,resolved,4.0,rejected,auto,spam_queue,60
85,2024-12-03,harassment,video,2021,India,resolved,29.0,removed,human,abuse_queue,2459
86,2024-02-22,spam,comment,2687,India,resolved,3.0,ignored,auto,spam_queue,5604
87,2024-10-06,harassment,comment,2686,US,resolved,13.0,removed,auto,abuse_queue,1577
88,2024-08-04,spam,comment,167,US,resolved,14.0,rejected,human,spam_queue,2895
89,2024-09-08,spam,comment,4533,US,resolved,4.0,removed,auto,spam_queue,268
90,2024-07-06,spam,video,88,Germany,resolved,32.0,rejected,human,spam_queue,6601
91,2024-02-10,spam,comment,54,UK,resolved,2.0,removed,auto,spam_queue,4930
92,2024-06-05,hate,comment,195,India,open,,rejected,auto,abuse_queue,3503
93,2024-01-15,spam,comment,25,UK,open,,removed,auto,spam_queue,4355
94,2024-10-27,harassment,comment,3049,UK,resolved,31.0,removed,human,abuse_queue,7081
95,2024-03-05,copyright,comment,33,UK,resolved,11.0,removed,human,copyright_queue,7363
96,2024-12-10,harassment,short,119,India,resolved,27.0,warned,human,abuse_queue,7023
97,2024-11-22,spam,comment,183,US,resolved,2.0,ignored,auto,spam_queue,5420
98,2024-01-09,spam,short,2,Brazil,resolved,4.0,removed,auto,spam_queue,7180
99,2024-12-09,copyright,video,1352,India,resolved,7.0,removed,human,copyright_queue,5561
100,2024-05-08,harassment,video,117,US,resolved,24.0,removed,human,abuse_queue,19
101,2024-05-15,harassment,video,4876,UK,open,,removed,auto,abuse_queue,7356
102,2024-03-03,spam,comment,57,UK,resolved,1.0,rejected,auto,spam_queue,5425
103,2024-05-18,hate,short,3993,US,open,,removed,auto,abuse_queue,6073
104,2024-03-21,harassment,video,1532,Brazil,resolved,12.0,removed,auto,abuse_queue,2774
105,2024-06-11,spam,comment,4681,US,open,,removed,auto,spam_queue,204
106,2024-10-15,harassment,video,4914,US,resolved,9.0,removed,auto,abuse_queue,4579
107,2024-09-17,spam,comment,2998,Germany,resolved,2.0,removed,auto,spam_queue,6830
108,2024-08-18,spam,video,280,India,resolved,46.0,removed,human,spam_queue,2713
109,2024-02-10,hate,comment,676,UK,resolved,19.0,removed,human,abuse_queue,7
110,2024-01-28,spam,video,155,US,open,,removed,human,spam_queue,6726
111,2024-05-14,harassment,video,12,Germany,resolved,40.0,removed,human,abuse_queue,5022
112,2024-07-19,spam,video,4017,Germany,resolved,22.0,removed,human,spam_queue,7087
113,2024-11-23,spam,comment,116,Brazil,resolved,3.0,removed,auto,spam_queue,6763
114,2024-09-24,spam,video,3599,Brazil,resolved,2.0,removed,auto,spam_queue,1231
115,2024-02-02,copyright,short,3150,Germany,resolved,23.0,removed,human,copyright_queue,184
116,2024-02-17,spam,video,2150,India,resolved,2.0,removed,auto,spam_queue,279
117,2024-03-02,spam,video,153,Germany,open,,rejected,auto,spam_queue,6472
118,2024-08-03,harassment,comment,3885,Germany,resolved,9.0,removed,auto,abuse_queue,1911
119,2024-10-19,spam,video,2400,Germany,open,,ignored,auto,spam_queue,1707
120,2024-04-08,spam,comment,3514,Brazil,resolved,41.0,ignored,human,spam_queue,5800
121,2024-06-20,spam,video,4787,India,resolved,2.0,ignored,auto,spam_queue,4439
122,2024-12-25,spam,comment,4381,US,resolved,28.0,removed,human,spam_queue,89
123,2024-08-01,spam,video,1668,Brazil,resolved,26.0,removed,human,spam_queue,59
124,2024-02-04,spam,comment,514,US,resolved,46.0,removed,human,spam_queue,295
125,2024-08-14,spam,comment,2537,Germany,open,,ignored,auto,spam_queue,7759
126,2024-04-10,hate,comment,4939,UK,resolved,22.0,removed,human,abuse_queue,7087
127,2024-05-10,spam,short,141,UK,resolved,1.0,removed,auto,spam_queue,3904
128,2024-09-13,copyright,comment,4264,US,resolved,4.0,ignored,auto,copyright_queue,7667
129,2024-01-05,harassment,comment,1507,UK,open,,warned,auto,abuse_queue,47
130,2024-08-05,spam,short,4788,Brazil,resolved,3.0,warned,auto,spam_queue,5237
131,2024-09-11,copyright,video,167,Germany,resolved,36.0,removed,human,copyright_queue,4190
132,2024-12-24,spam,comment,2562,Germany,resolved,2.0,removed,auto,spam_queue,2060
133,2024-10-09,spam,video,6,India,resolved,4.0,removed,auto,spam_queue,538
134,2024-07-25,spam,video,3026,Brazil,resolved,5.0,removed,auto,spam_queue,7890
135,2024-01-15,harassment,video,2372,Germany,resolved,30.0,removed,human,abuse_queue,1296
136,2024-12-11,spam,short,2128,Brazil,resolved,3.0,removed,auto,spam_queue,4976
137,2024-02-11,spam,comment,3135,UK,resolved,4.0,warned,auto,spam_queue,3731
138,2024-06-27,spam,video,4903,Germany,resolved,4.0,removed,auto,spam_queue,6306
139,2024-03-03,harassment,video,6,UK,resolved,51.0,rejected,human,abuse_queue,29
140,2024-12-17,spam,comment,4491,India,resolved,3.0,warned,auto,spam_queue,2475
141,2024-08-18,spam,comment,3492,UK,resolved,2.0,removed,auto,spam_queue,6165
142,2024-08-28,spam,comment,174,UK,resolved,3.0,ignored,auto,spam_queue,910
143,2024-02-21,hate,comment,876,India,resolved,33.0,removed,human,abuse_queue,3224
144,2024-04-05,spam,comment,680,US,resolved,1.0,warned,auto,spam_queue,6721
145,2024-08-09,spam,short,2524,India,resolved,1.0,removed,auto,spam_queue,6013
146,2024-08-18,hate,video,2883,India,resolved,10.0,removed,auto,abuse_queue,5413
147,2024-08-24,spam,short,325,US,open,,removed,auto,spam_queue,2254
148,2024-05-22,harassment,video,70,Germany,resolved,6.0,removed,auto,abuse_queue,508
149,2024-06-19,copyright,video,144,Germany,resolved,38.0,ignored,human,copyright_queue,104
150,2024-01-29,hate,video,3384,UK,resolved,35.0,removed,human,abuse_queue,4602
151,2024-02-05,spam,video,347,Germany,resolved,8.0,ignored,human,spam_queue,610
152,2024-01-13,spam,short,26,Germany,resolved,2.0,removed,auto,spam_queue,4918
153,2024-06-08,spam,video,4724,UK,resolved,3.0,removed,auto,spam_queue,7513
154,2024-11-22,copyright,comment,199,India,resolved,20.0,removed,human,copyright_queue,2472
155,2024-07-05,copyright,comment,2508,India,open,,ignored,auto,copyright_queue,6693
156,2024-08-30,spam,comment,118,UK,open,,removed,human,spam_queue,4252
157,2024-03-26,harassment,video,3470,Brazil,resolved,7.0,removed,auto,abuse_queue,7113
158,2024-10-10,hate,comment,545,Germany,resolved,38.0,removed,human,abuse_queue,64
159,2024-03-06,spam,comment,171,Germany,resolved,47.0,removed,human,spam_queue,2755
160,2024-06-18,spam,short,58,Brazil,resolved,3.0,warned,auto,spam_queue,7438
161,2024-02-14,spam,comment,1960,India,resolved,4.0,removed,auto,spam_queue,7403
162,2024-03-02,spam,short,173,Brazil,resolved,1.0,removed,auto,spam_queue,265
163,2024-05-13,hate,comment,342,UK,resolved,13.0,removed,auto,abuse_queue,6880
164,2024-10-10,copyright,video,2032,Brazil,open,,removed,auto,copyright_queue,4707
165,2024-01-28,spam,video,2312,India,resolved,34.0,removed,human,spam_queue,1906
166,2024-04-17,spam,comment,4037,UK,resolved,3.0,warned,auto,spam_queue,6026
167,2024-02-13,spam,comment,24,Germany,resolved,1.0,removed,auto,spam_queue,4058
168,2024-12-05,hate,video,92,UK,resolved,7.0,removed,auto,abuse_queue,4167
169,2024-10-12,harassment,video,2163,India,resolved,7.0,removed,auto,abuse_queue,5
170,2024-11-26,harassment,video,810,Germany,resolved,49.0,removed,human,abuse_queue,3991
171,2024-05-07,harassment,comment,162,Germany,resolved,11.0,warned,auto,abuse_queue,4865
172,2024-12-13,spam,comment,84,UK,resolved,18.0,removed,human,spam_queue,6575
173,2024-08-18,spam,comment,3823,US,resolved,8.0,removed,human,spam_queue,1391
174,2024-07-08,copyright,comment,3595,Germany,resolved,31.0,ignored,human,copyright_queue,197
175,2024-08-12,spam,comment,3704,UK,resolved,2.0,rejected,auto,spam_queue,126
176,2024-10-09,harassment,comment,1800,US,resolved,23.0,removed,human,abuse_queue,94
177,2024-04-30,spam,video,40,Brazil,resolved,44.0,ignored,human,spam_queue,6124
178,2024-04-25,harassment,short,2182,UK,resolved,10.0,removed,auto,abuse_queue,7932
179,2024-08-20,harassment,video,183,Brazil,resolved,7.0,removed,auto,abuse_queue,3759
180,2024-09-15,harassment,video,45,India,resolved,49.0,removed,human,abuse_queue,6739
181,2024-12-24,hate,video,661,US,open,,removed,auto,abuse_queue,3746
182,2024-07-16,spam,video,3181,India,resolved,5.0,removed,auto,spam_queue,2428
183,2024-05-16,harassment,comment,684,US,resolved,15.0,removed,auto,abuse_queue,756
184,2024-11-13,spam,video,4307,UK,resolved,16.0,removed,human,spam_queue,4118
185,2024-06-13,hate,comment,3757,Brazil,resolved,47.0,removed,human,abuse_queue,4196
186,2024-08-12,spam,comment,4573,Brazil,resolved,3.0,removed,auto,spam_queue,1015
187,2024-11-02,hate,comment,58,US,resolved,35.0,removed,human,abuse_queue,4550
188,2024-08-21,spam,video,3982,UK,resolved,4.0,removed,auto,spam_queue,3
189,2024-06-20,spam,comment,1052,UK,resolved,3.0,removed,auto,spam_queue,3916
190,2024-05-31,spam,comment,4131,Germany,resolved,18.0,ignored,human,spam_queue,2823
191,2024-11-10,copyright,video,4448,India,resolved,4.0,rejected,auto,copyright_queue,7370
192,2024-06-08,spam,short,118,Brazil,resolved,4.0,removed,auto,spam_queue,2611
193,2024-04-05,spam,video,1785,Brazil,resolved,3.0,removed,auto,spam_queue,2624
194,2024-08-20,spam,comment,60,India,resolved,3.0,removed,auto,spam_queue,4957
195,2024-06-28,spam,comment,1754,US,resolved,4.0,ignored,auto,spam_queue,3588
196,2024-04-22,spam,video,1313,India,resolved,30.0,removed,human,spam_queue,1826
197,2024-11-13,harassment,short,25,Germany,resolved,46.0,removed,human,abuse_queue,4059
198,2024-02-21,spam,video,157,UK,resolved,1.0,rejected,auto,spam_queue,7229
199,2024-09-24,harassment,comment,8,US,resolved,41.0,rejected,human,abuse_queue,4869
200,2024-10-21,spam,video,57,US,resolved,23.0,removed,human,spam_queue,7887
201,2024-04-22,spam,comment,3470,UK,resolved,33.0,removed,human,spam_queue,1164
202,2024-04-10,harassment,short,62,Germany,resolved,47.0,removed,human,abuse_queue,1858
203,2024-04-22,spam,comment,3995,Brazil,resolved,3.0,warned,auto,spam_queue,213
204,2024-03-21,spam,video,304,US,resolved,3.0,removed,auto,spam_queue,309
205,2024-07-05,spam,comment,143,India,resolved,1.0,removed,auto,spam_queue,256
206,2024-04-22,spam,comment,73,US,resolved,5.0,warned,auto,spam_queue,6398
207,2024-01-02,harassment,comment,1302,India,resolved,50.0,removed,human,abuse_queue,4944
208,2024-05-09,harassment,short,2290,India,resolved,33.0,removed,human,abuse_queue,1188
209,2024-08-07,harassment,short,1326,US,resolved,34.0,removed,human,abuse_queue,7331
210,2024-02-23,spam,video,45,UK,resolved,42.0,ignored,human,spam_queue,5638
211,2024-12-08,spam,comment,38,UK,resolved,39.0,removed,human,spam_queue,7294
212,2024-08-11,spam,short,4636,India,resolved,3.0,removed,auto,spam_queue,116
213,2024-08-12,harassment,video,1179,Germany,resolved,31.0,removed,human,abuse_queue,46
214,2024-05-05,spam,video,2104,India,open,,removed,auto,spam_queue,4724
215,2024-05-09,spam,video,47,Germany,open,,removed,auto,spam_queue,240
216,2024-02-22,hate,video,3180,UK,resolved,39.0,removed,human,abuse_queue,1954
217,2024-06-20,spam,short,1826,India,resolved,2.0,removed,auto,spam_queue,7284
218,2024-08-05,copyright,video,3512,India,open,,removed,human,copyright_queue,7167
219,2024-06-08,spam,video,4438,Brazil,resolved,3.0,rejected,auto,spam_queue,737
220,2024-07-16,hate,video,154,India,resolved,21.0,removed,human,abuse_queue,3954
221,2024-09-03,spam,video,4833,Brazil,resolved,4.0,removed,auto,spam_queue,128
222,2024-11-19,hate,comment,2086,Brazil,resolved,14.0,removed,auto,abuse_queue,288
223,2024-07-21,spam,comment,4074,India,resolved,4.0,warned,auto,spam_queue,15
224,2024-07-02,spam,comment,93,India,resolved,5.0,rejected,auto,spam_queue,153
225,2024-05-02,spam,video,2787,India,resolved,1.0,removed,auto,spam_queue,4922
226,2024-09-11,copyright,comment,2746,UK,resolved,18.0,removed,human,copyright_queue,3944
227,2024-10-20,copyright,short,888,Brazil,resolved,42.0,rejected,human,copyright_queue,433
228,2024-10-06,spam,comment,3496,UK,resolved,1.0,rejected,auto,spam_queue,6934
229,2024-11-20,harassment,video,2336,India,resolved,50.0,warned,human,abuse_queue,1733
230,2024-04-07,harassment,video,1147,Brazil,resolved,13.0,removed,human,abuse_queue,7383
231,2024-07-16,spam,video,3919,Brazil,resolved,1.0,ignored,auto,spam_queue,339
232,2024-08-27,spam,comment,171,Germany,resolved,21.0,removed,human,spam_queue,4106
233,2024-05-23,copyright,comment,148,India,resolved,7.0,removed,human,copyright_queue,1394
234,2024-04-06,spam,video,4503,India,resolved,5.0,warned,auto,spam_queue,47
235,2024-07-19,spam,video,4160,US,resolved,40.0,warned,human,spam_queue,254
236,2024-05-03,spam,comment,3556,India,open,,rejected,auto,spam_queue,1380
237,2024-07-05,spam,video,609,Brazil,resolved,2.0,rejected,auto,spam_queue,95
238,2024-11-21,harassment,short,663,India,open,,removed,auto,abuse_queue,7049
239,2024-12-14,spam,comment,1900,US,resolved,6.0,rejected,human,spam_queue,7472
240,2024-09-15,spam,comment,69,US,resolved,14.0,removed,human,spam_queue,183
241,2024-05-27,spam,video,4819,Brazil,resolved,29.0,warned,human,spam_queue,7240
242,2024-09-08,spam,comment,108,US,resolved,3.0,warned,auto,spam_queue,6479
243,2024-12-11,spam,comment,155,India,resolved,5.0,removed,auto,spam_queue,6987
244,2024-05-26,hate,comment,500,UK,resolved,14.0,removed,auto,abuse_queue,4955
245,2024-05-27,spam,video,3560,UK,resolved,28.0,removed,human,spam_queue,1670
246,2024-12-17,hate,video,2001,Brazil,resolved,10.0,removed,auto,abuse_queue,188
247,2024-07-17,spam,comment,130,US,resolved,3.0,removed,auto,spam_queue,4900
248,2024-11-03,spam,comment,3113,Brazil,resolved,2.0,rejected,auto,spam_queue,5572
249,2024-05-07,spam,video,1831,Brazil,resolved,46.0,removed,human,spam_queue,6209
250,2024-02-08,harassment,video,2588,India,resolved,38.0,rejected,human,abuse_queue,307
251,2024-12-03,hate,video,674,India,resolved,50.0,removed,human,abuse_queue,186
252,2024-12-25,spam,comment,46,US,open,,warned,human,spam_queue,1007
253,2024-05-08,spam,video,3732,Germany,open,,removed,auto,spam_queue,107
254,2024-09-23,harassment,comment,181,India,resolved,39.0,removed,human,abuse_queue,6737
255,2024-05-30,spam,comment,1046,Brazil,open,,warned,human,spam_queue,1956
256,2024-10-24,harassment,comment,3036,UK,resolved,18.0,removed,human,abuse_queue,2574
257,2024-04-08,spam,video,48,US,resolved,38.0,rejected,human,spam_queue,3661
258,2024-09-19,harassment,video,41,Brazil,open,,rejected,auto,abuse_queue,7538
259,2024-09-08,harassment,video,3425,US,resolved,11.0,removed,auto,abuse_queue,6822
260,2024-05-23,spam,video,175,Brazil,resolved,1.0,rejected,auto,spam_queue,6715
261,2024-12-11,harassment,comment,4370,Germany,resolved,53.0,removed,human,abuse_queue,226
262,2024-04-21,spam,comment,1327,India,resolved,4.0,ignored,auto,spam_queue,86
263,2024-02-29,spam,short,193,Germany,resolved,2.0,rejected,auto,spam_queue,7273
264,2024-01-02,spam,comment,3381,US,open,,removed,auto,spam_queue,6607
265,2024-10-30,spam,video,100,US,resolved,5.0,removed,auto,spam_queue,2149
266,2024-09-10,spam,comment,2743,UK,resolved,2.0,removed,auto,spam_queue,4349
267,2024-05-19,copyright,short,1095,US,resolved,9.0,ignored,human,copyright_queue,219
268,2024-02-06,harassment,short,76,Brazil,open,,removed,human,abuse_queue,64
269,2024-06-08,spam,short,3663,Brazil,resolved,2.0,warned,auto,spam_queue,2373
270,2024-01-09,hate,short,1871,Brazil,resolved,8.0,removed,auto,abuse_queue,101
271,2024-08-20,spam,video,56,UK,resolved,8.0,removed,human,spam_queue,39
272,2024-04-08,harassment,video,3800,India,resolved,11.0,removed,auto,abuse_queue,186
273,2024-05-26,spam,comment,702,Germany,resolved,2.0,warned,auto,spam_queue,93
274,2024-10-30,harassment,comment,2365,Germany,open,,removed,human,abuse_queue,5230
275,2024-07-26,harassment,video,3440,Brazil,resolved,10.0,removed,auto,abuse_queue,6829
276,2024-05-10,harassment,video,3508,Germany,resolved,38.0,removed,human,abuse_queue,4960
277,2024-05-31,spam,short,1884,UK,open,,rejected,auto,spam_queue,7490
278,2024-02-23,spam,short,94,Brazil,open,,removed,auto,spam_queue,22
279,2024-04-29,spam,video,69,US,resolved,4.0,removed,auto,spam_queue,278
280,2024-06-09,spam,video,3490,Brazil,resolved,2.0,removed,auto,spam_queue,75
281,2024-04-25,spam,short,1412,US,resolved,3.0,ignored,auto,spam_queue,1740
282,2024-03-15,harassment,comment,2211,US,open,,removed,auto,abuse_queue,6385
283,2024-04-22,hate,comment,173,India,resolved,24.0,removed,human,abuse_queue,4132
284,2024-04-13,spam,video,1313,Germany,resolved,47.0,removed,human,spam_queue,7128
285,2024-12-05,spam,comment,2552,India,resolved,5.0,removed,auto,spam_queue,6715
286,2024-09-10,hate,video,22,Brazil,resolved,27.0,removed,human,abuse_queue,47
287,2024-08-14,hate,short,2032,UK,resolved,7.0,removed,auto,abuse_queue,1862
288,2024-04-21,spam,video,1442,India,open,,removed,human,spam_queue,6761
289,2024-04-08,spam,comment,3440,US,resolved,5.0,rejected,auto,spam_queue,1090
290,2024-06-01,harassment,comment,2112,Brazil,resolved,12.0,removed,auto,abuse_queue,6059
291,2024-12-14,hate,comment,43,India,resolved,12.0,removed,auto,abuse_queue,4155
292,2024-12-31,spam,video,2355,US,open,,warned,human,spam_queue,205
293,2024-12-03,harassment,comment,2198,Brazil,resolved,24.0,removed,human,abuse_queue,3292
294,2024-07-12,harassment,video,153,UK,resolved,50.0,warned,human,abuse_queue,6996
295,2024-11-05,spam,short,92,India,resolved,46.0,warned,human,spam_queue,2680
296,2024-06-11,harassment,video,3980,India,resolved,12.0,removed,auto,abuse_queue,3175
297,2024-07-26,spam,comment,4678,Germany,resolved,12.0,rejected,human,spam_queue,2500
298,2024-06-17,harassment,comment,2822,Brazil,resolved,40.0,removed,human,abuse_queue,5255
299,2024-06-09,harassment,video,2160,India,resolved,35.0,warned,human,abuse_queue,246
300,2024-03-08,spam,video,3751,Brazil,resolved,2.0,warned,auto,spam_queue,29
301,2024-10-15,harassment,short,1234,US,resolved,45.0,removed,human,abuse_queue,7750
302,2024-10-03,harassment,video,774,India,resolved,52.0,removed,human,abuse_queue,6751
303,2024-10-30,copyright,comment,64,US,open,,rejected,human,copyright_queue,6996
304,2024-05-14,spam,video,4736,Brazil,resolved,4.0,removed,auto,spam_queue,6049
305,2024-07-13,spam,short,2755,US,resolved,36.0,removed,human,spam_queue,3208
306,2024-05-07,copyright,comment,4115,India,resolved,32.0,ignored,human,copyright_queue,164
307,2024-02-02,harassment,short,39,Germany,resolved,48.0,removed,human,abuse_queue,138
308,2024-06-24,copyright,short,18,UK,resolved,3.0,ignored,auto,copyright_queue,2469
309,2024-01-22,spam,comment,2857,India,resolved,5.0,removed,auto,spam_queue,193
310,2024-08-25,spam,video,176,US,resolved,5.0,removed,auto,spam_queue,5616
311,2024-06-06,spam,video,2835,Germany,open,,rejected,auto,spam_queue,7889
312,2024-02-07,hate,video,129,Brazil,resolved,29.0,removed,human,abuse_queue,7452
313,2024-08-17,hate,video,3524,UK,resolved,5.0,rejected,auto,abuse_queue,603
314,2024-12-30,harassment,comment,1245,India,resolved,39.0,removed,human,abuse_queue,4911
315,2024-02-20,spam,short,295,US,resolved,33.0,removed,human,spam_queue,275
316,2024-09-20,spam,video,337,India,resolved,5.0,removed,auto,spam_queue,1323
317,2024-10-09,harassment,video,3653,Germany,open,,removed,auto,abuse_queue,6860
318,2024-01-27,harassment,comment,104,UK,open,,removed,human,abuse_queue,6878
319,2024-08-13,harassment,short,2888,India,resolved,11.0,removed,auto,abuse_queue,1548
320,2024-10-03,spam,video,3352,UK,open,,removed,auto,spam_queue,1785
321,2024-10-12,spam,video,150,US,resolved,25.0,ignored,human,spam_queue,5878
322,2024-04-06,spam,video,42,Brazil,resolved,2.0,removed,auto,spam_queue,7588
323,2024-10-10,harassment,video,1461,India,resolved,34.0,removed,human,abuse_queue,4767
324,2024-11-12,spam,comment,3690,UK,resolved,2.0,removed,auto,spam_queue,5168
